ID,LINK,TITOLO,TESTATA GIORNALISTICA,DATA DI PUBBLICAZIONE,AUTORE
ART_01,https://www.elmundo.es/elmundodeporte/2012/08/06/masdeporte/1344280349.html,Arquera e 'icono homosexual',El mundo,07/08/2012,EP/Reuters
ART_02,https://cnnespanol.cnn.com/2014/09/15/hayley-turner-la-jinete-que-rompe-sus-huesos-por-diversion,Hayley Turner: la jinete que rompe sus huesos por diversión,CNN Español,15/09/2014,Marysabel Huston-Crespo
ART_03,https://www.elmundo.es/deportes/mas-deporte/2021/10/26/61742e8ffc6c83e34d8b4648.html," La angustia de la tiradora Sonia Franquet ante su acosador: ""Vuelvo a encontrármelo en la galería, vuelve a disparar""",El mundo,26/10/2021,Javier Sánchez
ART_04,https://elpais.com/deportes/2023-09-21/se-retira-lydia-valentin.html,Lydia Valentín dice adiós,El país,21/09/2023,Álvaro Corcuera
ART_05,https://www.lavanguardia.com/deportes/futbol-femenino/20231007/9282539/cata-coll-sentimos-parte-historia-lucha.html,Cata Coll: “Nos sentimos parte de la historia con esta lucha”,La Vanguardia,07/10/2023,Edurne Concejo
ART_06,https://www.elmundo.es/deportes/mas-deporte/2024/05/19/66425b96e9cf4a6e308b4575.html,"Sandra Piñeiro, el Ironman de la remera que luchó contra la anorexia: ""Poco a poco, estaba matándome""",El mundo,19/05/2024,Lucas Sáez-Bravo
ART_07,https://cnnespanol.cnn.com/2024/06/26/alex-morgan-futbol-femenino-juegos-olimpicos-trax,Alex Morgan no integra la lista del equipo de fútbol femenino de EE.UU. en los Juegos Olímpicos de París,CNN Español,26/06/2024,Kyle Feldscher
ART_08,https://www.nytimes.com/es/2024/08/01/espanol/imane-khelif-juegos-olimpicos.html,La boxeadora Angela Carini se retira de su pelea y se desata una polémica en los Juegos Olímpicos.,The NY times,01/08/2024,"Tariq Panja, Jeré Longman"
ART_09,https://cnnespanol.cnn.com/2024/08/02/coi-boxeadora-argelina-imane-khelif-mujer-registrada-mujer-olimpicos-trax,"Imane Khelif ""nació mujer, fue registrada como mujer"" y ""boxea como mujer"", dice el COI sobre la boxeadora argelina",CNN Español,02/08/2024,"Camille Knight, Saskya Vandoorne"
ART_10,https://cnnespanol.cnn.com/2024/09/02/valentina-petrillo-primera-corredora-paralimpica-transexual-final-trax,Valentina Petrillo se convierte en la primera corredora paralímpica transexual y clasifica para la semifinal de los 400 m T12 femeninos.,CNN Español,02/09/2024,Thomas Schlachter