ID,MATCH,ST,MT
ART_01_F01,Arquera,La arquera sudafricana espera que haberse declarado lesbiana ayude a las personas que sufren por su sexualidad,Il portiere sudafricano spera che dichiararsi lesbica possa aiutare le persone che soffrono a causa della loro sessualità.
ART_01_F02,Arquera,La arquera sudafricana Karen Hultzer espera que haberse declarado lesbiana en los Juegos Olímpicos de Londres ayude a las personas que sufren por su sexualidad y contribuya a la lucha contra la homofobia en el deporte.,L'arciera sudafricana Karen Hultzer spera che dichiararsi lesbica alle Olimpiadi di Londra possa aiutare le persone che soffrono a causa della loro sessualità e contribuire alla lotta contro l'omofobia nello sport.
ART_01_F18,Arquera,"""Tenemos que ser modelos para mostrar que no está mal ser gay y que es normal"", dijo la arquera a Reuters.","""Dobbiamo essere dei modelli per dimostrare che non è sbagliato essere gay e che è normale"", ha detto il portiere alla Reuters."
ART_02_F02,Jinete,"Hayley Turner es la jinete pionera del Reino Unido, pero su pequeño cuerpo ha pagado el precio, y no le molesta en lo absoluto.","Hayley Turner è la ciclista pioniera del Regno Unito, ma la sua piccola corporatura ha avuto il suo peso, e a lei non importa affatto."
ART_02_F03,Jinete,"“Podría quebrarme los huesos todos los días”, dice la jinete de 31 años, que una vez recibió correspondencia dirigida a “Hayley Turner - hospitalizada en algún lugar de Cambridgeshire”.","""Potrei rompermi le ossa ogni giorno"", afferma il fantino trentunenne, che una volta ricevette una corrispondenza indirizzata a ""Hayley Turner, ricoverata in ospedale da qualche parte nel Cambridgeshire""."
ART_02_F19,Jinete,"En 2008, Turner fue la primera mujer jinete en ganar 100 carreras en un año, en una temporada de casi 1.000 carreras en el Reino Unido.","Nel 2008, Turner è diventata la prima fantina a vincere 100 corse in un anno, in una stagione di quasi 1.000 corse nel Regno Unito."
ART_02_F21,Jinetes,"Turner tiene más de 50.000 seguidores en Twitter, lo que la hace más popular en esta red que las jinetes canadienses de alto nivel Emma-Jayne Wilson y Chantal Sutherland, que la aventajan en victorias en los hipódromos, pero no en seguidores.","Turner ha più di 50.000 follower su Twitter, il che la rende più popolare su questo network rispetto alle famose fantine canadesi Emma-Jayne Wilson e Chantal Sutherland, che hanno più vittorie negli ippodromi, ma non più follower."
ART_03_F09,Tiradora,"El pasado 11 de febrero, el Juzgado de lo Penal número 1 de Avilés falló a favor de Sonia Franquet, tiradora olímpica, sexta en los Juegos Olímpicos de Río 2016.","L'11 febbraio, il Tribunale penale numero 1 di Avilés si è pronunciato a favore di Sonia Franquet, tiratrice olimpica, sesta alle Olimpiadi di Rio 2016."
ART_03_F14,Tiradora,La sentencia judicial guardaba dos detalles que hoy angustian a la tiradora.,La sentenza del tribunale conteneva due dettagli che ora angosciano l'autore della sparatoria.
ART_03_F32,Tiradora,"Después de la sentencia de febrero, la Federación Española de Tiro Olímpico y la Federación Asturiana realizaron un comunicado conjunto en el que pidieron ""disculpas"" a la tiradora ""por los errores en que hubieran podido incurrir durante la gestión de este complejo problema"", pero ahora aseguran que no pueden ayudarla.","Dopo la sentenza di febbraio, la Federazione olimpica spagnola di tiro e la Federazione asturiana hanno rilasciato una dichiarazione congiunta in cui si sono scusate con la tiratrice ""per eventuali errori commessi nella gestione di questo complesso problema"", ma ora affermano di non poterla aiutare."
ART_03_F44,Tiradora,"Pese a lo vivido en el pasado ciclo olímpico, la tiradora disputó en junio el Europeo de Croacia con opciones de conseguir una plaza para los Juegos de Tokio 2020 que al final se le escapó.","Nonostante quanto accaduto nel precedente ciclo olimpico, la tiratrice ha gareggiato ai Campionati Europei in Croazia a giugno con la possibilità di assicurarsi un posto per i Giochi di Tokyo 2020, che alla fine le è sfuggito."
ART_04_F03,"Halterófila, Atleta","Con ella se va la mejor halterófila que ha tenido nunca España, la única atleta nacional, mujer u hombre, en conseguir una medalla olímpica en su especialidad hasta la fecha (logró el oro en Londres 2012, también la plata y bronce en Pekín 2008 y Río 2016), pionera también en Mundiales, pues es la única española en lograr coronarse como la mejor, oros en 2017 y 2018.","Con lei se ne va la migliore sollevatrice di pesi che la Spagna abbia mai avuto, l'unica atleta nazionale, donna o uomo, ad aver vinto una medaglia olimpica nella sua specialità fino ad oggi (ha vinto l'oro a Londra 2012, l'argento e il bronzo a Pechino 2008 e a Rio 2016), pioniera anche nei Campionati del mondo, essendo l'unica spagnola ad essere stata incoronata la migliore, con medaglie d'oro nel 2017 e nel 2018."
ART_04_F09,Deportista,"Inscrita en el Gran Premio de La Habana, disputado el pasado junio, la deportista no pudo finalmente participar por culpa de esa lesión y tampoco consiguió estar lista para el Mundial, celebrado en la primera quincena de este mes y que era clasificatorio para los Juegos, por el mismo motivo.","Iscritto al Gran Premio dell'Avana, svoltosi lo scorso giugno, l'atleta non ha potuto partecipare a causa di quell'infortunio e, per lo stesso motivo, non ha potuto presentarsi al Campionato del mondo, svoltosi nella prima metà di questo mese e che costituiva una qualificazione per i Giochi."
ART_04_F40,Atletas,"En 2016, la descalificación por dopaje de varias atletas de nacionalidad rusa, bielorrusa, kazaja y china en las pruebas olímpicas de 2008 y 2012 le dieron la medalla de plata y oro respectivamente en las citas de Pekín y Londres.","Nel 2016, la squalifica per doping di diversi atleti di nazionalità russa, bielorussa, kazaka e cinese nelle selezioni olimpiche del 2008 e del 2012 gli è valsa rispettivamente la medaglia d'argento e d'oro nelle gare di Pechino e Londra."
ART_05_F01,Portera,La campeona del mundo de fútbol y portera del Barça lamenta que el 'caso Rubiales' haya empañado el título ganado por la selección,"Il campione del mondo di calcio e portiere del Barcellona si rammarica che il ""caso Rubiales"" abbia offuscato il titolo vinto dalla nazionale"
ART_05_F02,Portera,"La portera del FC Barcelona Catalina Coll (Marratxí, Mallorca, 2001) atiende a La Vanguardia después de unas semanas intensas tras el terremoto desatado por el caso Rubiales.","Il portiere del Barcellona, ??Catalina Coll (Marratxí, Maiorca, 2001), parla a La Vanguardia dopo alcune intense settimane successive al terremoto scatenato dal caso Rubiales."
ART_06_F01,Remera,"La gallega, ex remera en Orio, visibiliza los problemas de salud mental en el deporte de elite tras tocar fondo.","La donna galiziana, ex canottiera di Orio, sta sensibilizzando l'opinione pubblica sui problemi di salute mentale negli sport d'élite dopo aver toccato il fondo."
ART_06_F07,Remera,"La anorexia adueñándose por completo de una remera de elite, ganadora por dos veces de la Bandera de la Concha con el Club Orio Arraunketa Elkartea.","L'anoressia ha preso completamente il sopravvento su un canottiere d'élite, due volte vincitore della Bandera de la Concha con l'Orio Arraunketa Elkartea Club."
ART_06_F14,Entrenadora,"Además de trabajar como entrenadora y readaptadora en San Sebastián, colabora con la Fundación Juntos e Invulnerables, para que los niños no tengan que atravesar por lo que ella pasó.","Oltre a lavorare come allenatrice e specialista in riabilitazione a San Sebastián, collabora con la Fondazione Juntos e Invulnerables affinché i bambini non debbano passare quello che ha passato lei."
ART_07_F02,Entrenadora,"La entrenadora Emma Hayes, que se embarca en su primer gran torneo a cargo del equipo, nombró su plantilla para los Juegos Olímpicos de París 2024 este miércoles.","L'allenatrice Emma Hayes, che si appresta a partecipare al suo primo torneo importante alla guida della squadra, ha annunciato mercoledì la formazione per le Olimpiadi di Parigi 2024."
ART_07_F03,"Jugadoras, Jugadoras, Jugadoras","La plantilla de 22 jugadoras, que incluye 18 jugadoras que viajarán a París y cuatro suplentes, incluye solo ocho jugadoras de los Juegos Olímpicos de 2020, que se celebraron en 2021 en Tokio, y 10 miembros del equipo del Mundial de 2023.","La squadra di 22 giocatori, di cui 18 che andranno a Parigi e quattro sostituti, comprende solo otto giocatori provenienti dalle Olimpiadi del 2020, che si sono tenute a Tokyo nel 2021, e 10 membri della squadra della Coppa del Mondo del 2023."
ART_07_F04,Jugadoras,La exclusión de Morgan de la plantilla expone el cambio que se avecina en un equipo que tuvo un gran éxito en las últimas temporadas con un núcleo de jugadoras increíblemente exitoso.,"L'esclusione di Morgan dal roster mette in luce il cambiamento che sta per avvenire in una squadra che ha avuto molto successo nelle ultime stagioni, con un nucleo di giocatori di incredibile successo."
ART_07_F12,Jugadoras,"Reconoció que la plantilla de París tendrá jugadoras menos experimentadas que en torneos anteriores, ya que el foco está puesto en el desarrollo.","Ha riconosciuto che la squadra di Parigi avrà giocatrici meno esperte rispetto ai tornei precedenti, poiché l'attenzione è rivolta allo sviluppo."
ART_07_F15,Jugadoras,"“Creo que, si se analiza la acumulación del equipo, hubo una falta de desarrollo para poner a las jugadoras –algunas de las menos experimentadas– en posiciones donde puedan desarrollar esa experiencia.","""Penso che, se si analizza la formazione della squadra, ci sia stata una mancanza di sviluppo nel mettere i giocatori, alcuni dei meno esperti, in posizioni in cui potessero sviluppare tale esperienza."
ART_07_F17,Jugadoras,"“No miro hacia atrás, tenemos que mirar hacia adelante con un grupo de jugadoras que dejaron atrás ese Mundial.","“Non mi guardo indietro, dobbiamo guardare avanti con un gruppo di giocatori che si sono lasciati alle spalle quel Mondiale."
ART_07_F20,"Porteras, Defensoras, Delanteras","El plantel está formada por las porteras Casey Murphy y Alyssa Naeher; las defensoras Tierna Davidson, Emily Fox, Naomi Girma, Casey Krueger, Jenna Nighswonger y Emily Sonnett; las mediocampistas Korbin Albert, Sam Coffey, Lindsey Horan, Rose Lavelle y Catarina Macario; y las delanteras Crystal Dunn, Trinity Rodman, Jaedyn Shaw, Sophia Smith y Mallory Swanson.","La squadra è composta dai portieri Casey Murphy e Alyssa Naeher; dai difensori Tierna Davidson, Emily Fox, Naomi Girma, Casey Krueger, Jenna Nighswonger ed Emily Sonnett; dai centrocampisti Korbin Albert, Sam Coffey, Lindsey Horan, Rose Lavelle e Catarina Macario; e dagli attaccanti Crystal Dunn, Trinity Rodman, Jaedyn Shaw, Sophia Smith e Mallory Swanson."
ART_07_F21,"Portera, Delantera","Las cuatro suplentes son la portera Jane Campbell, las centrocampistas Hal Hershfelt y Croix Bethune y la delantera Lynn Williams.","I quattro sostituti sono il portiere Jane Campbell, i centrocampisti Hal Hershfelt e Croix Bethune e l'attaccante Lynn Williams."
ART_07_F25,Jugadoras,"Muchas de las jugadoras seleccionadas pueden jugar en varias posiciones, lo que será clave dado el tiempo relativamente corto entre partidos en Francia.","Molti dei giocatori selezionati possono ricoprire più ruoli, il che sarà fondamentale visto il tempo relativamente breve tra le partite in Francia."
ART_07_F26,Jugadoras,"“El factor más importante son las 16 jugadoras de campo que jugarán muchos partidos (posiblemente, espero) durante un periodo de 17 días”, dijo.","""Il fattore più importante sono i 16 giocatori di movimento che giocheranno molte partite (spero) nell'arco di 17 giorni"", ha affermato."
ART_07_F28,Jugadoras,"Hay cambios difíciles entre juegos, por lo que, por supuesto, tener jugadoras en el plantel que puedan jugar en más de una posición es importante para la profundidad del equipo”.","Ci sono cambiamenti difficili tra una partita e l'altra, quindi ovviamente avere giocatori in rosa che possano giocare in più di una posizione è importante per la profondità della squadra""."
ART_08_F02,Boxeadora,"El jueves, una boxeadora italiana abandonó su combate en los Juegos Olímpicos de París tras solo 46 segundos y se negó a seguir en la pelea luego de recibir un fuerte golpe de una contrincante argelina, quien había sido descalificada de los campeonatos del mundo del año pasado por dudas sobre su idoneidad para competir en deportes femeninos.","Giovedì, una pugile italiana ha abbandonato il suo incontro alle Olimpiadi di Parigi dopo soli 46 secondi e si è rifiutata di rimanere in combattimento dopo aver subito un duro colpo da un'avversaria algerina, che era stata squalificata dai campionati del mondo dello scorso anno per dubbi sulla sua idoneità a competere negli sport femminili."
ART_08_F03,Boxeadora,"La boxeadora italiana, Angela Carini, se retiró después de que su rival argelina, Imane Khelif, conectara un potente golpe que pareció impactar de lleno en su rostro.","La pugile italiana Angela Carini si è ritirata dopo che la sua avversaria algerina, Imane Khelif, ha sferrato un potente pugno che sembrava colpirla in faccia."
ART_08_F07,Atleta,"Otra atleta a quien también se le había prohibido participar en campeonatos internacionales el año pasado en circunstancias similares, Lin Yu-ting, también ha sido autorizada a pelear en París.","Anche un altro atleta a cui era stato vietato di partecipare ai campionati internazionali l'anno scorso in circostanze simili, Lin Yu-ting, è stato autorizzato a combattere a Parigi."
ART_08_F24,Atletas,"“Las atletas que tienen características genéticas masculinas no deberían ser admitidas en competiciones femeninas”, declaró a los periodistas.","""Gli atleti che hanno caratteristiche genetiche maschili non dovrebbero essere ammessi alle competizioni femminili"", ha detto ai giornalisti."
ART_08_F25,Boxeadora,"Claressa Shields, boxeadora profesional que en 2012 se convirtió en la primera mujer estadounidense en ganar una medalla de oro olímpica, dijo en una entrevista que no recordaba haberse sometido a pruebas de testosterona cuando competía como amateur.","Claressa Shields, una pugile professionista che nel 2012 è diventata la prima donna americana a vincere una medaglia d'oro olimpica, ha detto in un'intervista che non ricordava di essere stata testata per il testosterone quando gareggiava come dilettante."
ART_08_F31,"Deportistas, Nadadora","Uno se refiere a las deportistas transgénero, como la nadadora estadounidense Lia Thomas, quien libró en busca de una oportunidad para clasificarse para los Juegos de París.","Uno riguarda gli atleti transgender, come la nuotatrice americana Lia Thomas, che ha combattuto una battaglia legale senza successo cercando di avere la possibilità di qualificarsi per i Giochi di Parigi."
ART_08_F33,Atletas,"Mark Adams, un portavoz del COI, dijo que ni Khelif, de Argelia, ni Lin, de China Taipéi, eran atletas transgénero y que no debían ser descritas así.","Mark Adams, un portavoce del CIO, ha detto che né Khelif dell'Algeria né Lin del Taipei cinese erano atleti transgender e non dovrebbero essere descritti come tali."
ART_08_F34,Atletas,"La otra cuestión afecta a atletas como Caster Semenya, bicampeona olímpica de atletismo, que tienen un desarrollo sexual diferente conocido como DSD 46XY.","L'altro problema riguarda atleti come Caster Semenya, due volte campionessa olimpica di atletica leggera, che hanno uno sviluppo sessuale diverso noto come DSD 46XY."
ART_08_F37,Boxeadoras,"Umar Kremlev, presidente de la asociación, declaró que las boxeadoras habían sido excluidas entonces de los campeonatos mundiales de 2023 porque las pruebas revelaron que presentaban cromosomas X y Y.","Umar Kremlev, presidente dell'associazione, ha dichiarato all'epoca che i pugili erano stati esclusi dai campionati del mondo 2023 perché i test hanno rivelato che avevano i cromosomi X e Y."
ART_08_F39,"Boxeadoras, Atletas","El COI se ha enfrentado a cuestionamientos cada vez mayores sobre la participación de las dos boxeadoras, pero ha afirmado que ambas atletas han sido autorizadas a combatir según las normas del torneo olímpico.","Il CIO ha affrontato crescenti domande sulla partecipazione dei due pugili, ma ha detto che entrambi gli atleti sono stati autorizzati a combattere secondo le regole del torneo olimpico."
ART_08_F49,Atletas,"El Tribunal de Arbitraje Deportivo, que dirime los litigios en el deporte internacional, ha dictaminado que las normas de algunas federaciones deportivas que imponen restricciones a las atletas con DSD 46XY son discriminatorias, pero “necesarias, razonables y proporcionadas” “ para preservar la deportividad en las pruebas de mujeres.","Il Tribunale Arbitrale dello Sport, che si occupa delle controversie nello sport internazionale, ha stabilito che le regole di alcune federazioni sportive che impongono restrizioni alle atlete con DSD 46XY sono discriminatorie, ma ""necessarie, ragionevoli e proporzionate"" per preservare la sportività negli eventi femminili."
ART_09_F01,Boxeadora,"– El portavoz del Comité Olímpico Internacional (COI), Mark Adams, dijo este viernes en rueda de prensa que la boxeadora argelina Imane Khelif que participó en los Juegos Olímpicos de París 2024 “nació mujer, fue registrada como mujer, vive su vida como mujer, boxea como mujer, tiene un pasaporte de mujer”.","– Il portavoce del Comitato Olimpico Internazionale (CIO) Mark Adams ha dichiarato venerdì in una conferenza stampa che la pugile algerina Imane Khelif, che ha gareggiato alle Olimpiadi di Parigi 2024, “è nata donna, è stata registrata come donna, vive la sua vita come donna, pratica il pugilato come donna e ha un passaporto femminile”."
ART_09_F06,Boxeadora,"“No es un tema transgénero”, aclara el COI sobre la controversia de la boxeadora Imane Khelif en Paris 2024","""Non è una questione transgender"", chiarisce il CIO in merito alla controversia che ha coinvolto la pugile Imane Khelif a Parigi 2024."
ART_09_F14,Boxeadora,"La boxeadora Lin Yu-ting, de Taiwán, también está en el punto de mira tras años de competición amateur.",Anche il pugile taiwanese Lin Yu-ting è sotto i riflettori dopo anni di competizioni amatoriali.
ART_09_F18,Atletas,"En marzo de 2023, la Asociación Internacional de Boxeo (IBA, por su sigla en inglés), a la que le fue retirado el reconocimiento del COI, descalificó a las atletas Lin Yu-ting e Imane Khelif de los Campeonatos Mundiales de Boxeo Femenino de la IBA celebrados en Nueva Delhi.","Nel marzo 2023, l'International Boxing Association (IBA), a cui era stato revocato il riconoscimento da parte del CIO, ha squalificato le atlete Lin Yu-ting e Imane Khelif dai Campionati mondiali di pugilato femminile IBA di Nuova Delhi."
ART_09_F19,Boxeadoras,"La IBA emitió un comunicado el miércoles en el que afirmaba que ambas boxeadoras “no se sometieron a un examen de testosterona” el año pasado, sino que fueron “sometidas a una prueba separada y reconocida, cuyos detalles son confidenciales”.","Mercoledì l'IBA ha rilasciato una dichiarazione in cui afferma che entrambi i pugili ""non sono stati sottoposti a test del testosterone"" l'anno scorso, ma sono stati invece ""sottoposti a un test separato e riconosciuto, i cui dettagli sono riservati""."
ART_10_F01,Corredora,Valentina Petrillo se convirtió el lunes en la primera corredora transexual que participa en unos Juegos Paralímpicos al competir en la prueba de 400 metros T12 femeninos.,"Lunedì Valentina Petrillo è diventata la prima runner transgender a partecipare ai Giochi Paralimpici, gareggiando nella gara femminile T12 dei 400 metri."
ART_10_F08,Atleta,"Contrariamente a lo que se dice, Petrillo no es la primera atleta paralímpica transgénero de la historia.","Contrariamente a quanto si dice, Petrillo non è il primo atleta paralimpico transgender della storia."
ART_10_F09,Lanzadora,"El Comité Paralímpico Internacional (CPI) confirmó a CNN que la lanzadora de disco neerlandesa Ingrid van Kranen era una paralímpica transgénero cuando compitió en los Juegos Paralímpicos de Río en 2016, antes de la participación de Petrillo en los Juegos Paralímpicos de 2024.","Il Comitato Paralimpico Internazionale (IPC) ha confermato alla CNN che la discobola olandese Ingrid van Kranen era una paralimpica transgender quando ha gareggiato alle Paralimpiadi di Rio nel 2016, in vista della partecipazione di Petrillo alle Paralimpiadi del 2024."
